market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-05-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-06-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
749539,FRA.PRES.2012.HOLLANDE,Francois Hollande to be elected President of France in 2012,2011-07-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
