market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-01-26,0.0,0.0,0.0,51.2,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-01-27,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-01-28,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-01-29,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-01-30,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-01-31,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-01,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-02,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-03,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-04,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-05,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-06,51.2,51.2,51.2,51.2,127,1,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-07,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-08,51.2,51.2,51.2,51.2,127,5,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-09,0.0,0.0,0.0,51.2,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-10,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-11,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-12,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-13,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-14,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-15,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-16,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-17,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-18,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-19,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-20,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-21,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-22,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-23,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-24,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-25,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-26,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-27,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-28,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-02-29,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-01,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-02,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-03,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-04,53.7,53.7,53.0,52.1,127,20,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-05,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-06,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-07,0.0,0.0,0.0,52.1,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-08,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-09,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-10,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-11,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-12,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-13,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-14,51.2,51.2,51.2,52.4,127,30,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-15,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-16,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-17,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-18,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-19,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-20,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-21,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-22,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-23,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-24,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-25,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-26,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-27,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-28,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-29,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-30,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-03-31,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-01,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-02,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-03,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-04,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-05,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-06,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-07,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-08,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-09,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-10,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-11,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-12,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-13,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-14,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-15,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-16,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-17,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-18,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-19,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-20,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-21,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-22,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-23,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-24,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-25,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-26,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-27,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-28,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-29,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-04-30,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-01,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-02,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-03,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-04,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-05,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-06,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-07,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-08,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-09,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-10,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-11,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-12,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-13,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-14,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-15,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-16,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-17,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-18,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-19,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-20,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-21,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-22,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-23,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-24,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-25,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-26,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-27,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-28,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-29,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-30,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-05-31,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-01,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-02,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-03,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-04,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-05,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-06,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-07,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-08,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-09,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-10,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-11,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-12,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-13,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-14,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-15,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-16,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-17,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-18,0.0,0.0,0.0,52.3,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-19,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-20,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-21,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-22,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-23,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-24,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-25,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-26,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-27,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-28,0.0,0.0,0.0,52.4,127,0,53.7,51.2
565196,DEM.PRES-GOVT.DEBT,Increase in US Government debt if Democrat elected president in 2008,2008-06-29,0.0,0.0,0.0,52.4,127,0,53.7,51.2
