market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-01-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-02-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-02,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-03,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-04,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-05,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-06,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-07,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-08,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-09,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-10,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-11,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-12,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-13,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-14,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-15,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-16,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-17,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-18,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-19,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-20,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-21,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-22,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-23,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-24,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-25,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-26,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-27,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-28,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-29,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-30,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-03-31,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-01,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-02,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-03,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-04,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-05,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-06,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-07,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-08,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-09,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-10,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-11,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-12,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-13,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-14,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-15,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-16,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-17,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-18,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-19,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-20,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-21,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-22,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-23,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-24,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-25,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-26,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-27,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-28,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-29,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-04-30,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-01,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-02,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-03,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-04,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-05,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-06,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-07,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-08,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-09,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-10,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-11,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-12,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-13,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-14,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-15,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-16,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-17,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-18,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-19,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-20,,,,,0,0,,
756131,REP.ELEC.COLLEGE.230+,Republican nominee to win 230 or more Electoral College votes in 2012 Presidential Election,2012-05-21,,,,,0,0,,
