market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-23,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-24,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-25,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-26,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-27,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-28,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-29,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-11-30,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-01,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-02,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-03,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-04,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-05,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-06,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-07,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-08,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-09,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-10,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-11,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-12,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-13,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-14,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-15,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-16,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-17,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-18,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-19,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-20,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-21,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-22,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-23,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-24,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-25,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-26,,,,,0,0,,
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2010-12-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-12,3.0,3.0,3.0,3.0,1,1,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-13,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-14,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-15,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-16,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-17,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-18,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-19,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-20,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-21,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-22,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-23,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-24,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-25,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-26,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-27,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-28,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-29,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-30,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-01-31,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-01,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-02,0.0,0.0,0.0,3.0,1,0,3.0,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-03,3.1,3.1,3.1,3.1,2,1,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-04,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-05,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-06,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-07,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-08,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-09,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-10,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-11,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-12,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-13,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-14,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-15,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-16,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-17,0.0,0.0,0.0,3.1,2,0,3.1,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-18,4.9,4.9,4.9,4.9,5,3,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-19,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-20,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-21,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-22,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-23,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-24,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-25,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-26,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-27,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-02-28,0.0,0.0,0.0,4.9,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-01,4.0,4.0,4.0,4.0,5,3,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-02,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-03,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-04,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-05,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-06,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-07,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-08,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-09,0.0,0.0,0.0,4.0,5,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-10,4.8,4.8,4.7,4.8,6,3,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-11,0.0,0.0,0.0,4.8,6,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-12,0.0,0.0,0.0,4.8,6,0,4.9,3.0
743566,REP.VP.2012.DANIELS,Mitch Daniels to be Republican VP nominee in 2012,2011-03-13,0.0,0.0,0.0,4.8,6,0,4.9,3.0
