market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-07-30,0.0,0.0,0.0,0.1,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-07-31,0.0,0.0,0.0,0.1,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-01,0.0,0.0,0.0,0.1,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-02,0.0,0.0,0.0,11.5,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-03,0.0,0.0,0.0,11.5,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-04,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-05,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-06,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-07,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-08,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-09,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-10,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-11,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-12,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-13,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-14,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-15,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-16,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-17,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-18,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-19,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-20,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-21,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-22,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-23,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-24,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-25,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-26,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-27,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-28,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-29,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-30,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-08-31,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-09-01,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-09-02,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-09-03,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-09-04,0.0,0.0,0.0,10.0,0,0,0.0,0.0
507642,2008.DEM.VP.STRICKLAND,Ted Strickland to be the Democratic VP Nominee in 2008,2007-09-05,0.0,0.0,0.0,10.0,0,0,0.0,0.0
