market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-05-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-06-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-07-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-08-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
598635,POWELL.ENDORSE.CLINTON,Colin Powell to endorse Hillary Clinton for President in 2008,2008-09-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
