market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2009-12-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-01-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-02-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-02-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-02-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-02-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-02-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
705996,TIGER.PLAYS.JUL10,Tiger Woods to play in PGA Tour event before 31 Jul 2010,2010-02-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
