market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-27,18.0,18.0,15.5,15.5,2,2,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-28,0.0,0.0,0.0,15.5,2,0,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-29,0.0,0.0,0.0,15.5,2,0,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-30,0.0,0.0,0.0,15.5,2,0,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-03-31,0.0,0.0,0.0,15.5,2,0,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-01,0.0,0.0,0.0,15.5,2,0,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-02,0.0,0.0,0.0,15.5,2,0,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-03,0.0,0.0,0.0,15.5,2,0,18.0,15.5
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-04,15.3,15.3,15.3,15.3,3,1,18.0,15.3
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-05,15.3,15.3,15.0,15.0,7,4,18.0,15.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-06,15.0,15.1,10.0,14.9,16,10,18.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-07,19.0,19.0,15.0,15.0,31,15,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-08,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-09,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-10,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-11,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-12,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-13,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-14,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-15,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-16,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-17,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-18,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-19,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-20,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-21,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-22,15.0,15.0,15.0,15.0,31,1,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-23,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-24,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-25,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-26,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-27,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-28,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-29,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-04-30,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-01,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-02,0.0,0.0,0.0,15.0,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-03,15.2,15.2,15.2,15.2,31,1,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-04,0.0,0.0,0.0,15.2,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-05,0.0,0.0,0.0,15.2,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-06,0.0,0.0,0.0,15.2,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-07,0.0,0.0,0.0,15.2,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-08,0.0,0.0,0.0,15.2,31,0,19.0,10.0
672070,2009.GLOBALTEMP.TOP5,Average Global Temperature for 2009 to be among five warmest years on record,2009-05-09,0.0,0.0,0.0,15.2,31,0,19.0,10.0
